test_case,elapsed_time
Autoencoder__opt5,24005.7
DepthwiseSeparableConvBlock__opt5,5707.71
FeedForward__opt5,44529.8
ResMLP__opt5,13651.6
ResidualBlock__opt5,26029.4
atax__opt5,1673.89
bicg__opt5,2868.06
gemm__opt5,19481.4
gesummv__opt5,1276.87
k2mm__opt5,23396.0
k3mm__opt5,32602.8
k7mmseq_balanced__opt5,4895.56
k7mmseq_unbalanced__opt5,7153.37
k7mmtree_balanced__opt5,5526.46
k7mmtree_unbalanced__opt5,6176.31
mvt__opt5,4590.0
k15mmseq__opt5,5041.02
k15mmseq_imbalanced__opt5,1201.38
k15mmseq_relu__opt5,3667.49
k15mmseq_relu_imbalanced__opt5,1034.78
k15mmtree__opt5,4390.17
k15mmtree_imbalanced__opt5,3929.16
k15mmtree_relu__opt5,3752.59
k15mmtree_relu_imbalanced__opt5,3664.07
k15mmseq__opt5_test,5041.02
