optimizer,test_case,elapsed_time,n_samples
HeuristicOptimizer,Autoencoder,45.387301864800975,1872
HeuristicOptimizer,DepthwiseSeparableConvBlock,7.328016092069447,180
HeuristicOptimizer,FeedForward,74.20228630001657,1836
HeuristicOptimizer,ResMLP,141.4055686770007,2268
HeuristicOptimizer,ResidualBlock,2.0630937030073255,180
HeuristicOptimizer,atax,10.680146285099909,1002
HeuristicOptimizer,bicg,0.003798421937972307,12
HeuristicOptimizer,gemm,0.10378980287350714,12
HeuristicOptimizer,gesummv,0.0031384530011564493,12
HeuristicOptimizer,k15mmseq,6.1504691410809755,852
HeuristicOptimizer,k15mmseq_imbalanced,0.5524061119649559,354
HeuristicOptimizer,k15mmseq_relu,11.902576643973589,654
HeuristicOptimizer,k15mmseq_relu_imbalanced,1.0587219030130655,354
HeuristicOptimizer,k15mmtree,2.3529419449623674,636
HeuristicOptimizer,k15mmtree_imbalanced,1.9756876290775836,756
HeuristicOptimizer,k15mmtree_relu,13.365166001021862,852
HeuristicOptimizer,k15mmtree_relu_imbalanced,13.54271861212328,1020
HeuristicOptimizer,k2mm,0.8796002580784261,132
HeuristicOptimizer,k3mm,5.976052801124752,420
HeuristicOptimizer,k7mmseq_balanced,1.11104632797651,588
HeuristicOptimizer,k7mmseq_unbalanced,0.8712565740570426,636
HeuristicOptimizer,k7mmtree_balanced,0.465784823987633,420
HeuristicOptimizer,k7mmtree_unbalanced,1.3249129729811102,732
HeuristicOptimizer,mvt,0.1341575449332595,12
RandomSearchOptimizer,Autoencoder,3.403831664007157,1000
RandomSearchOptimizer,DepthwiseSeparableConvBlock,1.7623563511297107,1000
RandomSearchOptimizer,FeedForward,3.9428142779506743,1000
RandomSearchOptimizer,ResMLP,5.774561268044636,1000
RandomSearchOptimizer,ResidualBlock,2.7830536770634353,1000
RandomSearchOptimizer,atax,2.096102660987526,1000
RandomSearchOptimizer,bicg,0.10034088185057044,1000
RandomSearchOptimizer,gemm,0.8444081421475857,1000
RandomSearchOptimizer,gesummv,0.08142950106412172,1000
RandomSearchOptimizer,k15mmseq,0.6676817710977048,1000
RandomSearchOptimizer,k15mmseq_imbalanced,0.29392094910144806,1000
RandomSearchOptimizer,k15mmseq_relu,0.7831510051619262,1000
RandomSearchOptimizer,k15mmseq_relu_imbalanced,0.3921822609845549,1000
RandomSearchOptimizer,k15mmtree,0.48071321099996567,1000
RandomSearchOptimizer,k15mmtree_imbalanced,0.405456431908533,1000
RandomSearchOptimizer,k15mmtree_relu,0.9984455700032413,1000
RandomSearchOptimizer,k15mmtree_relu_imbalanced,0.9833291980903596,1000
RandomSearchOptimizer,k2mm,0.7946320988703519,1000
RandomSearchOptimizer,k3mm,1.0063731779810041,1000
RandomSearchOptimizer,k7mmseq_balanced,0.6011109300889075,1000
RandomSearchOptimizer,k7mmseq_unbalanced,0.7775332119781524,1000
RandomSearchOptimizer,k7mmtree_balanced,0.464670562883839,1000
RandomSearchOptimizer,k7mmtree_unbalanced,0.3444881928153336,1000
RandomSearchOptimizer,mvt,1.4445867829490453,1000
GroupRandomSearchOptimizer,Autoencoder,3.8310544909909368,1000
GroupRandomSearchOptimizer,DepthwiseSeparableConvBlock,1.308030010201037,1000
GroupRandomSearchOptimizer,FeedForward,5.166373404907063,1000
GroupRandomSearchOptimizer,ResMLP,4.6500968059990555,1000
GroupRandomSearchOptimizer,ResidualBlock,2.2437790911644697,1000
