design_name,deadlock,latency,bram
Autoencoder__opt5,False,151690.0,0.0
DepthwiseSeparableConvBlock__opt5,False,150184.0,0.0
FeedForward__opt5,False,107918.0,0.0
ResMLP__opt5,True,,
ResidualBlock__opt5,False,2098981.0,0.0
atax__opt5,False,3243.0,0.0
bicg__opt5,False,1111.0,0.0
gemm__opt5,False,24049.0,0.0
gesummv__opt5,False,673.0,0.0
k15mmseq__opt5,False,74529.0,0.0
k15mmseq_imbalanced__opt5,False,36647.0,0.0
k15mmseq_relu__opt5,False,94874.0,0.0
k15mmseq_relu_imbalanced__opt5,False,43334.0,0.0
k15mmtree__opt5,True,,
k15mmtree_imbalanced__opt5,False,22187.0,0.0
k15mmtree_relu__opt5,True,,
k15mmtree_relu_imbalanced__opt5,False,31316.0,0.0
k2mm__opt5,False,64117.0,0.0
k3mm__opt5,False,86090.0,0.0
k7mmseq_balanced__opt5,False,23677.0,0.0
k7mmseq_unbalanced__opt5,False,26138.0,0.0
k7mmtree_balanced__opt5,True,,
k7mmtree_unbalanced__opt5,False,18124.0,0.0
mvt__opt5,False,666.0,0.0
