latency,bram,latency_bram_product,design_name,optimizer_name
66661,230,15332030,Autoencoder__opt5,random_search
41916,252,10562832,Autoencoder__opt5,random_search
52175,240,12522000,Autoencoder__opt5,random_search
64233,234,15030522,Autoencoder__opt5,random_search
71642,226,16191092,Autoencoder__opt5,random_search
65581,232,15214792,Autoencoder__opt5,random_search
51756,244,12628464,Autoencoder__opt5,random_search
82456,210,17315760,Autoencoder__opt5,random_search
40063,12,480756,Autoencoder__opt5,group_random_search
65765,0,0,Autoencoder__opt5,group_random_search
40061,96,3845856,Autoencoder__opt5,group_random_search
40062,16,640992,Autoencoder__opt5,group_random_search
52684,8,421472,Autoencoder__opt5,group_random_search
40065,444,17788860,Autoencoder__opt5,heuristic
40063,12,480756,Autoencoder__opt5,init_simulated_annealing
65765,0,0,Autoencoder__opt5,init_simulated_annealing
40061,96,3845856,Autoencoder__opt5,init_simulated_annealing
40062,16,640992,Autoencoder__opt5,init_simulated_annealing
52684,8,421472,Autoencoder__opt5,init_simulated_annealing
64268,160,10282880,Autoencoder__opt5,discrete_simulated_annealing
65101,148,9634948,Autoencoder__opt5,discrete_simulated_annealing
51724,170,8793080,Autoencoder__opt5,discrete_simulated_annealing
51708,176,9100608,Autoencoder__opt5,discrete_simulated_annealing
64236,168,10791648,Autoencoder__opt5,discrete_simulated_annealing
41620,188,7824560,Autoencoder__opt5,discrete_simulated_annealing
42072,182,7657104,Autoencoder__opt5,discrete_simulated_annealing
41189,206,8484934,Autoencoder__opt5,discrete_simulated_annealing
41203,190,7828570,Autoencoder__opt5,discrete_simulated_annealing
40061,0,0,Autoencoder__opt5,grouped_discrete_simulated_annealing
151710,248,37624080,DepthwiseSeparableConvBlock__opt5,random_search
150669,264,39776616,DepthwiseSeparableConvBlock__opt5,random_search
151714,202,30646228,DepthwiseSeparableConvBlock__opt5,random_search
134539,0,0,DepthwiseSeparableConvBlock__opt5,group_random_search
134539,0,0,DepthwiseSeparableConvBlock__opt5,heuristic
134539,0,0,DepthwiseSeparableConvBlock__opt5,init_simulated_annealing
151714,198,30039372,DepthwiseSeparableConvBlock__opt5,discrete_simulated_annealing
134577,210,28261170,DepthwiseSeparableConvBlock__opt5,discrete_simulated_annealing
134573,273,36738429,DepthwiseSeparableConvBlock__opt5,discrete_simulated_annealing
134539,0,0,DepthwiseSeparableConvBlock__opt5,grouped_discrete_simulated_annealing
110487,659,72810933,FeedForward__opt5,random_search
110486,689,76124854,FeedForward__opt5,random_search
66256,781,51745936,FeedForward__opt5,random_search
108696,690,75000240,FeedForward__opt5,random_search
68048,763,51920624,FeedForward__opt5,random_search
65994,16,1055904,FeedForward__opt5,group_random_search
65993,32,2111776,FeedForward__opt5,group_random_search
107918,0,0,FeedForward__opt5,group_random_search
65993,64,4223552,FeedForward__opt5,heuristic
67778,56,3795568,FeedForward__opt5,heuristic
65994,16,1055904,FeedForward__opt5,init_simulated_annealing
65993,32,2111776,FeedForward__opt5,init_simulated_annealing
107918,0,0,FeedForward__opt5,init_simulated_annealing
68041,571,38851411,FeedForward__opt5,discrete_simulated_annealing
110487,519,57342753,FeedForward__opt5,discrete_simulated_annealing
66256,582,38560992,FeedForward__opt5,discrete_simulated_annealing
66255,584,38692920,FeedForward__opt5,discrete_simulated_annealing
108696,551,59891496,FeedForward__opt5,discrete_simulated_annealing
65993,0,0,FeedForward__opt5,grouped_discrete_simulated_annealing
39772,32,1272704,ResMLP__opt5,group_random_search
39775,104,4136600,ResMLP__opt5,heuristic
39772,32,1272704,ResMLP__opt5,init_simulated_annealing
39772,32,1272704,ResMLP__opt5,grouped_discrete_simulated_annealing
2093342,195,408201690,ResidualBlock__opt5,random_search
2099012,114,239287368,ResidualBlock__opt5,random_search
2099015,107,224594605,ResidualBlock__opt5,random_search
2092529,56,117181624,ResidualBlock__opt5,group_random_search
2093311,0,0,ResidualBlock__opt5,group_random_search
2092529,56,117181624,ResidualBlock__opt5,heuristic
2098981,0,0,ResidualBlock__opt5,heuristic
2092529,56,117181624,ResidualBlock__opt5,init_simulated_annealing
2093311,0,0,ResidualBlock__opt5,init_simulated_annealing
2099012,84,176317008,ResidualBlock__opt5,discrete_simulated_annealing
2093342,104,217707568,ResidualBlock__opt5,discrete_simulated_annealing
2093311,0,0,ResidualBlock__opt5,grouped_discrete_simulated_annealing
2092529,56,117181624,ResidualBlock__opt5,grouped_discrete_simulated_annealing
2732,200,546400,atax__opt5,random_search
4307,198,852786,atax__opt5,random_search
4328,164,709792,atax__opt5,random_search
4308,190,818520,atax__opt5,random_search
2712,230,623760,atax__opt5,random_search
2179,0,0,atax__opt5,group_random_search
2179,600,1307400,atax__opt5,heuristic
2711,596,1615756,atax__opt5,heuristic
2179,0,0,atax__opt5,init_simulated_annealing
4328,146,631888,atax__opt5,discrete_simulated_annealing
4307,148,637436,atax__opt5,discrete_simulated_annealing
2711,152,412072,atax__opt5,discrete_simulated_annealing
2179,0,0,atax__opt5,grouped_discrete_simulated_annealing
1111,0,0,bicg__opt5,random_search
1111,0,0,bicg__opt5,group_random_search
1111,0,0,bicg__opt5,heuristic
1111,0,0,bicg__opt5,init_simulated_annealing
1111,0,0,bicg__opt5,discrete_simulated_annealing
1111,0,0,bicg__opt5,grouped_discrete_simulated_annealing
24556,32,785792,gemm__opt5,random_search
24049,0,0,gemm__opt5,group_random_search
24049,0,0,gemm__opt5,heuristic
24049,0,0,gemm__opt5,init_simulated_annealing
24556,20,491120,gemm__opt5,discrete_simulated_annealing
24049,0,0,gemm__opt5,grouped_discrete_simulated_annealing
673,0,0,gesummv__opt5,random_search
673,0,0,gesummv__opt5,group_random_search
