design_name,optimizer_name,n_total,n_no_deadlock,n_deadlock
Autoencoder__opt5,random_search,1000,1000,0
Autoencoder__opt5,group_random_search,1000,1000,0
Autoencoder__opt5,heuristic,1872,1872,0
Autoencoder__opt5,init_simulated_annealing,2000,2000,0
Autoencoder__opt5,discrete_simulated_annealing,8000,8000,0
Autoencoder__opt5,grouped_discrete_simulated_annealing,8000,8000,0
DepthwiseSeparableConvBlock__opt5,random_search,1000,1000,0
DepthwiseSeparableConvBlock__opt5,group_random_search,1000,1000,0
DepthwiseSeparableConvBlock__opt5,heuristic,180,180,0
DepthwiseSeparableConvBlock__opt5,init_simulated_annealing,400,400,0
DepthwiseSeparableConvBlock__opt5,discrete_simulated_annealing,8000,8000,0
DepthwiseSeparableConvBlock__opt5,grouped_discrete_simulated_annealing,8000,8000,0
FeedForward__opt5,random_search,1000,1000,0
FeedForward__opt5,group_random_search,1000,1000,0
FeedForward__opt5,heuristic,1836,1836,0
FeedForward__opt5,init_simulated_annealing,1200,1200,0
FeedForward__opt5,discrete_simulated_annealing,8000,8000,0
FeedForward__opt5,grouped_discrete_simulated_annealing,8000,8000,0
ResMLP__opt5,random_search,1000,0,1000
ResMLP__opt5,group_random_search,1000,338,662
ResMLP__opt5,heuristic,2268,2172,96
ResMLP__opt5,init_simulated_annealing,400,159,241
ResMLP__opt5,grouped_discrete_simulated_annealing,8000,4730,3270
ResidualBlock__opt5,random_search,1000,1000,0
ResidualBlock__opt5,group_random_search,1000,1000,0
ResidualBlock__opt5,heuristic,180,180,0
ResidualBlock__opt5,init_simulated_annealing,800,800,0
ResidualBlock__opt5,discrete_simulated_annealing,8000,8000,0
ResidualBlock__opt5,grouped_discrete_simulated_annealing,8000,8000,0
atax__opt5,random_search,1000,1000,0
atax__opt5,group_random_search,1000,1000,0
atax__opt5,heuristic,1002,1002,0
atax__opt5,init_simulated_annealing,400,400,0
atax__opt5,discrete_simulated_annealing,8000,8000,0
atax__opt5,grouped_discrete_simulated_annealing,8000,8000,0
bicg__opt5,random_search,1000,1000,0
bicg__opt5,group_random_search,1000,1000,0
bicg__opt5,heuristic,12,12,0
bicg__opt5,init_simulated_annealing,400,400,0
bicg__opt5,discrete_simulated_annealing,8000,8000,0
bicg__opt5,grouped_discrete_simulated_annealing,8000,8000,0
gemm__opt5,random_search,1000,1000,0
gemm__opt5,group_random_search,1000,1000,0
gemm__opt5,heuristic,12,12,0
gemm__opt5,init_simulated_annealing,400,400,0
gemm__opt5,discrete_simulated_annealing,8000,8000,0
gemm__opt5,grouped_discrete_simulated_annealing,8000,8000,0
gesummv__opt5,random_search,1000,1000,0
gesummv__opt5,group_random_search,1000,1000,0
gesummv__opt5,heuristic,12,12,0
gesummv__opt5,init_simulated_annealing,400,400,0
gesummv__opt5,discrete_simulated_annealing,8000,8000,0
